Loaded 116 unique ZIP entries.
HTTP Server failed: [Errno 48] Address already in use
[15:07:11] MANUAL SEQUENTIAL BURST MODE ACTIVE
[15:44:07] STAGING: Staging to SSD: 69%
[15:44:17] STAGING: Staging to SSD: 70%
[15:44:26] STAGING: Staging to SSD: 71%
[15:44:37] STAGING: Staging to SSD: 72%
[15:44:46] STAGING: Staging to SSD: 73%
[15:44:56] STAGING: Staging to SSD: 74%
[15:45:06] STAGING: Staging to SSD: 75%
[15:45:15] STAGING: Staging to SSD: 76%
[15:45:25] STAGING: Staging to SSD: 77%
[15:45:34] STAGING: Staging to SSD: 78%
[15:45:44] STAGING: Staging to SSD: 79%
[15:45:54] STAGING: Staging to SSD: 80%
[15:46:03] STAGING: Staging to SSD: 81%
[15:46:13] STAGING: Staging to SSD: 82%
[15:46:22] STAGING: Staging to SSD: 83%
[15:46:32] STAGING: Staging to SSD: 84%
[15:46:42] STAGING: Staging to SSD: 85%
[15:46:51] STAGING: Staging to SSD: 86%
[15:47:01] STAGING: Staging to SSD: 87%
[15:47:10] STAGING: Staging to SSD: 88%
[15:47:20] STAGING: Staging to SSD: 89%
[15:47:30] STAGING: Staging to SSD: 90%
[15:47:39] STAGING: Staging to SSD: 91%
[15:47:49] STAGING: Staging to SSD: 92%
[15:47:58] STAGING: Staging to SSD: 93%
[15:48:08] STAGING: Staging to SSD: 94%
[15:48:17] STAGING: Staging to SSD: 95%
[15:48:27] STAGING: Staging to SSD: 96%
[15:48:36] STAGING: Staging to SSD: 97%
[15:48:46] STAGING: Staging to SSD: 98%
[15:48:56] STAGING: Staging to SSD: 99%
[15:48:56] Staging took 16m 0s
[15:48:56] EXTRACTING: Calculating file count...
